Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,81.50,81.849998,81.040001,81.07,1679200,79.97992
2014-12-30,81.480003,81.889999,81.099998,81.269997,1281600,80.177228
2014-12-29,81.230003,81.959999,80.739998,81.639999,1048100,80.542256
2014-12-26,80.970001,81.550003,80.739998,81.230003,833100,80.137772
2014-12-24,80.529999,81.190002,80.32,80.900002,1003600,79.812208
2014-12-23,79.949997,80.529999,79.279999,80.379997,1984800,79.299196
2014-12-22,79.989998,80.309998,79.730003,80.120003,1147100,79.042697
2014-12-19,79.370003,80.080002,79.059998,79.629997,2795100,78.55928
2014-12-18,78.540001,78.949997,77.410004,78.93,3119300,77.868696
2014-12-17,76.239998,77.160004,75.18,76.940002,2474700,75.905455
2014-12-16,77.980003,78.040001,76.129997,76.169998,3632500,75.145805
2014-12-15,79.690002,80.309998,77.75,78.339996,1890600,77.286625
2014-12-12,79.309998,80.589996,78.93,78.949997,1470400,77.888423
2014-12-11,80.040001,81.099998,79.720001,80.129997,1853000,79.052557
2014-12-10,80.970001,81.269997,79.610001,79.940002,1568200,78.865117
2014-12-09,80.650002,81.739998,80.370003,81.389999,1558200,80.295617
2014-12-08,81.160004,82.620003,80.93,81.790001,2571200,80.69024
2014-12-05,80.150002,82.160004,79.879997,81.559998,3404400,80.463329
2014-12-04,78.839996,80.010002,78.260002,79.82,3356300,78.746728
2014-12-03,78.050003,80.199997,77.480003,79.739998,2715100,77.681248
2014-12-02,77.940002,78.199997,77.300003,77.739998,2146800,75.732884
2014-12-01,78.650002,78.93,77.400002,77.400002,1641700,75.401666
