Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,76.040001,76.25,74.849998,74.889999,1062600,74.049543
2014-12-30,76.00,76.43,75.620003,75.690002,1061700,74.840568
2014-12-29,76.50,76.739998,75.910004,76.389999,654900,75.532709
2014-12-26,77.25,77.489998,76.669998,76.75,653000,75.88867
2014-12-24,77.129997,77.379997,76.690002,77.160004,426900,76.294072
2014-12-23,77.110001,77.370003,76.739998,77.019997,701700,76.155637
2014-12-22,76.279999,76.830002,75.730003,76.809998,1663100,75.947994
2014-12-19,74.169998,76.379997,74.169998,76.309998,3423800,75.453605
2014-12-18,72.639999,74.150002,72.209999,74.07,1424900,73.238746
2014-12-17,71.650002,71.940002,69.139999,71.879997,2196100,71.073321
2014-12-16,72.260002,73.150002,71.900002,71.919998,831900,71.112873
2014-12-15,72.779999,73.230003,72.050003,72.18,1174500,71.369957
2014-12-12,72.230003,72.839996,71.879997,72.290001,1369800,71.478723
2014-12-11,71.830002,72.919998,71.790001,72.480003,1415100,71.666594
2014-12-10,72.839996,73.18,71.75,71.809998,1804000,70.628373
2014-12-09,73.57,73.760002,72.550003,73.25,1573400,72.04468
2014-12-08,74.25,74.769997,73.870003,74.07,1452000,72.851187
2014-12-05,74.650002,75.199997,74.370003,74.629997,1448800,73.40197
2014-12-04,74.57,74.900002,73.989998,74.449997,1145300,73.224932
2014-12-03,73.580002,74.720001,73.489998,74.57,1479600,73.34296
2014-12-02,73.099998,73.940002,72.709999,73.610001,1512300,72.398757
2014-12-01,73.389999,73.669998,72.309998,72.510002,1044800,71.316859
