Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,107.400002,108.339996,106.629997,106.709999,276300,106.15684
2014-12-30,107.610001,108.300003,106.669998,106.910004,329800,106.355808
2014-12-29,107.220001,109.739998,106.879997,108.410004,381600,107.848033
2014-12-26,105.879997,107.809998,105.650002,107.68,253000,107.121813
2014-12-24,105.110001,105.910004,104.519997,105.300003,160400,104.754153
2014-12-23,104.879997,106.169998,104.510002,105.190002,423800,104.644723
2014-12-22,106.129997,106.830002,104.489998,104.75,453500,104.207002
2014-12-19,109.800003,110.00,105.260002,106.080002,1170600,105.530109
2014-12-18,106.379997,109.959999,104.660004,109.449997,681300,108.882635
2014-12-17,103.169998,104.510002,101.110001,104.449997,876300,103.908554
2014-12-16,104.040001,105.139999,102.629997,102.699997,542400,102.167625
2014-12-15,104.309998,106.160004,103.290001,104.209999,650200,103.6698
2014-12-12,104.660004,106.459999,103.860001,103.900002,489000,103.361409
2014-12-11,106.50,107.660004,105.650002,105.839996,458200,105.291348
2014-12-10,108.089996,109.00,105.50,105.580002,568600,105.032701
2014-12-09,102.43,108.690002,102.43,108.550003,1028100,107.987306
2014-12-08,106.029999,106.169998,102.18,102.510002,749500,101.978615
2014-12-05,107.82,108.00,105.599998,106.18,462600,105.629589
2014-12-04,107.25,107.75,106.129997,107.529999,839400,106.972589
2014-12-03,106.760002,107.900002,105.150002,107.489998,914100,106.932796
2014-12-02,107.010002,107.870003,106.139999,106.839996,780000,106.286164
2014-12-01,108.639999,108.639999,106.110001,107.059998,444300,106.505025
