Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,55.790001,55.959999,54.470001,54.509998,702800,53.438209
2014-12-30,56.360001,56.369999,55.669998,55.689999,677900,54.595007
2014-12-29,55.060001,56.669998,55.00,56.540001,766400,55.428297
2014-12-26,54.189999,55.220001,53.959999,54.950001,562600,53.86956
2014-12-24,52.790001,54.23,52.790001,54.009998,478900,52.94804
2014-12-23,52.779999,53.099998,52.509998,52.720001,458400,51.683407
2014-12-22,52.450001,52.57,51.91,52.50,458200,51.467731
2014-12-19,52.610001,52.619999,52.029999,52.189999,1297100,51.163825
2014-12-18,51.59,52.25,51.490002,52.25,861500,51.222647
2014-12-17,50.610001,51.34,50.279999,51.259998,787400,50.252111
2014-12-16,50.619999,51.009998,50.099998,50.419998,1423000,49.428627
2014-12-15,51.27,51.50,50.529999,50.650002,1096500,49.654108
2014-12-12,52.200001,52.48,51.16,51.18,1053600,50.173686
2014-12-11,52.389999,53.259998,52.310001,52.610001,571600,51.575569
2014-12-10,53.57,53.630001,52.369999,52.389999,659400,51.359894
2014-12-09,52.689999,53.599998,52.599998,53.580002,1400100,52.526498
2014-12-08,53.25,53.759998,52.740002,52.970001,839100,51.928491
2014-12-05,53.310001,53.560001,53.110001,53.360001,680500,52.310822
2014-12-04,53.700001,53.779999,53.139999,53.630001,1351400,52.575514
2014-12-03,53.130001,53.66,53.049999,53.619999,1453200,52.565709
2014-12-02,52.48,53.130001,52.209999,53.099998,2104200,52.055932
2014-12-01,52.290001,52.630001,51.790001,52.380001,1155700,51.350092
